batch,domain,position,sample_id
0,Janus,0,Janus/Janus/test/1_fake/img_616.jpg
0,Janus,1,Janus/Janus/test/1_fake/img_1114.jpg
0,Janus,2,Janus/Janus/test/1_fake/img_1712.jpg
0,Janus,3,Janus/Janus/test/1_fake/img_1580.jpg
0,Janus,4,Janus/Janus/test/1_fake/img_4286.jpg
0,Janus,5,Janus/Janus/test/0_real/2769.jpg
0,Janus,6,Janus/Janus/test/0_real/4342.jpg
0,Janus,7,Janus/Janus/test/0_real/3881.jpg
0,Janus,8,Janus/Janus/test/0_real/4579.jpg
0,Janus,9,Janus/Janus/test/0_real/1566.jpg
0,Janus,10,Janus/Janus/test/1_fake/img_1527.jpg
0,Janus,11,Janus/Janus/test/1_fake/img_4891.jpg
0,Janus,12,Janus/Janus/test/0_real/1440.jpg
0,Janus,13,Janus/Janus/test/1_fake/img_1698.jpg
0,Janus,14,Janus/Janus/test/0_real/926.jpg
0,Janus,15,Janus/Janus/test/1_fake/img_3478.jpg
1,Janus,16,Janus/Janus/test/1_fake/img_4278.jpg
1,Janus,17,Janus/Janus/test/0_real/4195.jpg
1,Janus,18,Janus/Janus/test/0_real/3638.jpg
1,Janus,19,Janus/Janus/test/0_real/2915.jpg
1,Janus,20,Janus/Janus/test/1_fake/img_2589.jpg
1,Janus,21,Janus/Janus/test/1_fake/img_4623.jpg
1,Janus,22,Janus/Janus/test/1_fake/img_3757.jpg
1,Janus,23,Janus/Janus/test/1_fake/img_2313.jpg
1,Janus,24,Janus/Janus/test/0_real/4263.jpg
1,Janus,25,Janus/Janus/test/0_real/794.jpg
1,Janus,26,Janus/Janus/test/0_real/224.jpg
1,Janus,27,Janus/Janus/test/0_real/4004.jpg
1,Janus,28,Janus/Janus/test/1_fake/img_407.jpg
1,Janus,29,Janus/Janus/test/0_real/786.jpg
1,Janus,30,Janus/Janus/test/0_real/1447.jpg
1,Janus,31,Janus/Janus/test/1_fake/img_3924.jpg
2,Janus,32,Janus/Janus/test/0_real/4571.jpg
2,Janus,33,Janus/Janus/test/1_fake/img_2301.jpg
2,Janus,34,Janus/Janus/test/0_real/3200.jpg
2,Janus,35,Janus/Janus/test/1_fake/img_4940.jpg
2,Janus,36,Janus/Janus/test/1_fake/img_3391.jpg
2,Janus,37,Janus/Janus/test/0_real/1082.jpg
